"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 03 14:13:49 CST 2026","Tue Mar 03 14:13:50 CST 2026","982","testcase.test_admin","test_admin_api","TestAdminAPI","","","test_appeal_list[TC-ADMIN-019-3_\u83b7\u53d6\u5df2\u63d0\u4ea4\u7533\u8bc9\u5217\u8868]","测试管理员获取申诉管理数据"
"passed","Tue Mar 03 14:15:50 CST 2026","Tue Mar 03 14:15:50 CST 2026","143","testcase.test_user","test_user_api","TestUserAPI","","","test_register[TC-AUTH-014_\u5bc6\u7801\u4e3a\u7a7a]","测试用户注册接口的各种场景"
"broken","Tue Mar 03 14:13:43 CST 2026","Tue Mar 03 14:13:43 CST 2026","171","testcase.test_admin","test_admin_api","TestAdminAPI","","","test_product_audit[TC-ADMIN-014_action\u4e3a\u7a7a]","测试管理员审核商品的各种场景"
"failed","Tue Mar 03 14:14:05 CST 2026","Tue Mar 03 14:14:05 CST 2026","94","testcase.test_appeal","test_appeal_api","TestAppealAPI","","","test_appeal_detail[TC-APPEAL-005_\u6210\u529f\u83b7\u53d6]","测试获取申诉详情接口"
"failed","Tue Mar 03 14:15:31 CST 2026","Tue Mar 03 14:15:31 CST 2026","47","testcase.test_product","test_product_api","TestProductAPI","","","test_product_detail[TC-PROD-011_\u5546\u54c1\u4e0d\u5b58\u5728]","测试获取商品详情接口的各种场景"
"failed","Tue Mar 03 14:14:34 CST 2026","Tue Mar 03 14:14:44 CST 2026","9959","testcase.test_evaluation","test_evaluation_api","TestEvaluationAPI","","","test_submit_evaluation[TC-EVAL-003_\u5dee\u8bc4\u65e0\u8bc1\u636e]","测试提交商品评价接口的各种场景"
"passed","Tue Mar 03 14:15:51 CST 2026","Tue Mar 03 14:15:51 CST 2026","105","testcase.test_user","test_user_api","TestUserAPI","","","test_register[TC-AUTH-022_\u5bc6\u7801\u5c0f\u4e8e8\u4f4d]","测试用户注册接口的各种场景"
"passed","Tue Mar 03 14:14:06 CST 2026","Tue Mar 03 14:14:07 CST 2026","1264","testcase.test_credit","test_credit_api","TestCreditAPI","","","test_get_credit_score[TC-CREDIT-001_\u767b\u5f55\u7528\u6237\u83b7\u53d6]","测试获取信用分接口的各种场景"
"passed","Tue Mar 03 14:15:57 CST 2026","Tue Mar 03 14:15:57 CST 2026","137","testcase.test_wish","test_wish_api","TestWishAPI","","","test_create_wish[TC-WISH-004_\u65e0max_price]","测试创建心愿接口的各种场景"
"failed","Tue Mar 03 14:13:44 CST 2026","Tue Mar 03 14:13:44 CST 2026","274","testcase.test_admin","test_admin_api","TestAdminAPI","","","test_wish_list[TC-WISH-002_\u83b7\u53d6\u5df2\u901a\u8fc7\u5fc3\u613f\u5217\u8868]","测试管理员获取心愿管理数据"
